阿姨|āyí|aunt
啊|a|exclamation particle
矮|ǎi|short (height)
爱好|àihào|hobby
安静|ānjìng|quiet
把|bǎ|to hold, disposal particle
班|bān|class, shift
搬|bān|to move
半|bàn|half
办法|bànfǎ|method, way
办公室|bàngōngshì|office
帮忙|bāngmáng|to help
包|bāo|bag, package
饱|bǎo|full (after eating)
北方|běifāng|north
被|bèi|passive voice particle
鼻子|bízi|nose
比较|bǐjiào|relatively, to compare
比赛|bǐsài|competition, match
笔记本|bǐjìběn|notebook
必须|bìxū|must, have to
变化|biànhuà|change
别人|biérén|others, other people
冰箱|bīngxiāng|refrigerator
菜单|càidān|menu
参加|cānjiā|to participate
草|cǎo|grass
层|céng|floor, layer
差|chà|bad, poor
超市|chāoshì|supermarket
衬衫|chènshān|shirt
成绩|chéngjì|grades, results
城市|chéngshì|city
迟到|chídào|to be late
除了|chúle|except, besides
船|chuán|ship, boat
春|chūn|spring (season)
词典|cídiǎn|dictionary
聪明|cōngming|clever, smart
打扫|dǎsǎo|to clean, to sweep
打算|dǎsuàn|to plan
带|dài|to bring, to carry
担心|dānxīn|to worry
蛋糕|dàngāo|cake
当然|dāngrán|of course
地|de|adverbial particle
灯|dēng|lamp, light
地方|dìfang|place, location
地铁|dìtiě|subway, metro
地图|dìtú|map
电梯|diàntī|elevator
电子邮件|diànzǐyóujiàn|email
东|dōng|east
冬|dōng|winter
动物|dòngwù|animal
短|duǎn|short (length)
段|duàn|paragraph, section
锻炼|duànliàn|to exercise
多么|duōme|how, so (exclamation)
饿|è|hungry
不但……而且……|búdàn...érqiě|not only...but also...
耳朵|ěrduo|ear
发|fā|to send, to issue
发烧|fāshāo|to have a fever
发现|fāxiàn|to discover, to find
方便|fāngbiàn|convenient
放|fàng|to put, to place
放心|fàngxīn|to relax, don't worry
分|fēn|minute, point
附近|fùjìn|nearby
复习|fùxí|to review
干净|gānjìng|clean
感兴趣|gǎnxìngqù|to be interested in
感冒|gǎnmào|to catch a cold
刚才|gāngcái|just now
个子|gèzi|height, stature
跟|gēn|with, and
根据|gēnjù|according to
更|gèng|even more
公斤|gōngjīn|kilogram
公园|gōngyuán|park
故事|gùshi|story
刮风|guāfēng|windy
关|guān|to close, to shut
关系|guānxì|relationship
关心|guānxīn|to care for
关于|guānyú|about, regarding
国家|guójiā|country, nation
过去|guòqù|past, in the past
过|guò|to pass
还是|háishì|or, still
害怕|hàipà|to be afraid
黑板|hēibǎn|blackboard
后来|hòulái|later, afterwards
护照|hùzhào|passport
花|huā|to spend, flower
画|huà|painting, to draw
坏|huài|bad, broken
欢迎|huānyíng|welcome
还|huán|to return (something)
环境|huánjìng|environment
换|huàn|to change, to exchange
黄河|huánghé|Yellow River
回答|huídá|to answer
会议|huìyì|meeting
或者|huòzhě|or
几乎|jīhū|almost
机会|jīhuì|opportunity, chance
极|jí|extremely
记得|jìde|to remember
季节|jìjié|season
检查|jiǎnchá|to check, to inspect
简单|jiǎndān|simple
健康|jiànkāng|healthy
见面|jiànmiàn|to meet
讲|jiǎng|to speak, to explain
教|jiāo|to teach
角|jiǎo|corner, horn
脚|jiǎo|foot
接|jiē|to pick up, to receive
街道|jiēdào|street
结婚|jiéhūn|to get married
结束|jiéshù|to end, to finish
节目|jiémù|program, show
节日|jiérì|festival, holiday
解决|jiějué|to solve, to resolve
借|jiè|to borrow, to lend
经常|jīngcháng|often, frequently
经过|jīngguò|to pass through
经理|jīnglǐ|manager
久|jiǔ|long time
旧|jiù|old, used
句子|jùzi|sentence
决定|juédìng|to decide
渴|kě|thirsty
可爱|kě'ài|cute, lovely
刻|kè|quarter hour
客人|kèrén|guest
空调|kōngtiáo|air conditioner
口|kǒu|mouth
哭|kū|to cry
裤子|kùzi|trousers, pants
筷子|kuàizi|chopsticks
蓝|lán|blue
老|lǎo|old
离开|líkāi|to leave
礼物|lǐwù|gift, present
历史|lìshǐ|history
脸|liǎn|face
聊天|liáotiān|to chat
练习|liànxí|to practice
辆|liàng|measure word (vehicles)
了解|liǎojiě|to understand
邻居|línjū|neighbor
留学|liúxué|to study abroad
楼|lóu|floor, building
绿|lǜ|green
马|mǎ|horse
马上|mǎshàng|immediately
满意|mǎnyì|satisfied
帽子|màozi|hat
米|mǐ|meter, rice
面包|miànbāo|bread
明白|míngbai|to understand, clear
拿|ná|to take, to hold
奶奶|nǎinai|grandma (paternal)
南|nán|south
难|nán|difficult
难过|nánguò|sad
年级|niánjí|grade (school)
年轻|niánqīng|young
鸟|niǎo|bird
努力|nǔlì|to work hard
爬山|páshān|to climb a mountain
盘子|pánzi|plate, dish
胖|pàng|fat
啤酒|píjiǔ|beer
皮鞋|píxié|leather shoes
