您|nín|you (polite)
它|tā|it
大家|dàjiā|everyone
每|měi|every, each
为什么|wèishénme|why
零|líng|zero
两|liǎng|two
百|bǎi|hundred
千|qiān|thousand
第一|dìyī|first
次|cì|times (occurrence)
件|jiàn|piece, item
别|bié|do not
非常|fēicháng|very, extremely
也|yě|also
还|hái|still
最|zuì|the most
真|zhēn|really, truly
正在|zhèngzài|currently doing
已经|yǐjīng|already
一起|yìqǐ|together
再|zài|again
就|jiù|at once, then
因为……所以……|yīnwèi...suǒyǐ|because...so...
虽然……但是……|suīrán...dànshì|although...but...
从|cóng|from
比|bǐ|compared to
往|wǎng|toward, to
离|lí|distance between
得|de|manner particle
着|zhe|ongoing action particle
过|guò|past experience particle
吧|ba|suggestion particle
机场|jīchǎng|airport
教室|jiàoshì|classroom
房间|fángjiān|room
路|lù|road
左边|zuǒbiān|left side
右边|yòubiān|right side
外|wài|outside
旁边|pángbiān|beside, next to
一下|yīxià|a short while, once
早上|zǎoshàng|morning
晚上|wǎnshàng|night, evening
小时|xiǎoshí|hour
时间|shíjiān|time
去年|qùnián|last year
日|rì|date, day
生日|shēngrì|birthday
哥哥|gēge|older brother
姐姐|jiějie|older sister
弟弟|dìdi|younger brother
妹妹|mèimei|younger sister
丈夫|zhàngfu|husband
妻子|qīzi|wife
孩子|háizi|child
男人|nánrén|man
女人|nǚrén|woman
服务员|fúwùyuán|waiter, service staff
鱼|yú|fish
羊肉|yángròu|mutton
牛奶|niúnǎi|milk
鸡蛋|jīdàn|egg
西瓜|xīguā|watermelon
咖啡|kāfēi|coffee
雪|xuě|snow
药|yào|medicine
手机|shǒujī|cellphone
手表|shǒubiǎo|watch
眼睛|yǎnjīng|eye
身体|shēntǐ|body
公共汽车|gōnggòngqìchē|bus
报纸|bàozhǐ|newspaper
门|mén|door
题|tí|topic, question
课|kè|lesson, class
姓|xìng|surname
问题|wèntí|question, problem
事情|shìqing|matter, thing
考试|kǎoshì|exam
票|piào|ticket
意思|yìsi|meaning
颜色|yánsè|color
铅笔|qiānbǐ|pencil
面条|miàntiáo|noodles
火车站|huǒchēzhàn|train station
公司|gōngsī|company
宾馆|bīngguǎn|hotel
说话|shuōhuà|to talk, to speak
卖|mài|to sell
问|wèn|to ask
走|zǒu|to walk, to go
进|jìn|to enter
出|chū|to exit, to come out
跑步|pǎobù|to run
到|dào|to arrive
穿|chuān|to wear
洗|xǐ|to wash
给|gěi|to give
找|zhǎo|to find, to look for
懂|dǒng|to understand
笑|xiào|to smile, to laugh
告诉|gàosù|to tell
准备|zhǔnbèi|to prepare
开始|kāishǐ|to begin
介绍|jièshào|to introduce
帮助|bāngzhù|to help
玩|wán|to play
送|sòng|to give as gift, to send
等|děng|to wait
让|ràng|to let, to allow
起床|qǐchuáng|to get up
唱歌|chànggē|to sing
跳舞|tiàowǔ|to dance
旅游|lǚyóu|to travel
上班|shàngbān|to go to work
生病|shēngbìng|to get sick
休息|xiūxi|to rest
运动|yùndòng|to exercise, sport
游泳|yóuyǒng|to swim
踢足球|tīzúqiú|to play football
打篮球|dǎlánqiú|to play basketball
完|wán|to finish
觉得|juédé|to think, to feel
知道|zhīdao|to know
希望|xīwàng|to hope
可以|kěyǐ|can, may
要|yào|to want, will
可能|kěnéng|maybe, possible
高|gāo|tall, high
红|hóng|red
白|bái|white
黑|hēi|black
忙|máng|busy
快|kuài|fast, quick
慢|màn|slow
远|yuǎn|far
近|jìn|near, close
好吃|hǎochī|delicious
累|lèi|tired
长|cháng|long
新|xīn|new
贵|guì|expensive
便宜|piányi|cheap
晴|qíng|sunny, clear
阴|yīn|cloudy, overcast
错|cuò|wrong, mistake
快乐|kuàilè|happy, joyful
对|duì|correct, right
